Year,Country/area,Sector,Technology,Sub Technology,Number of Patents
2000,Austria,Transport,Bioenergy,Biofuels,19
2000,Austria,Transport,Enabling Technologies,Electromobility - Charging Stations,12
2000,Austria,Transport,Enabling Technologies,Electromobility - Electric Energy Management,19
2000,Austria,Transport,Enabling Technologies,Electromobility - Energy Storage,20
2000,Austria,Transport,Enabling Technologies,Electromobility - Information/Communication Technologies,3
2000,Austria,Transport,Enabling Technologies,Electromobility - Machine related technology ,15
2000,Austria,Transport,Enabling Technologies,Energy Efficiency,31
2000,Austria,Transport,Enabling Technologies,Smart Grids,1
2000,Austria,Transport,Enabling Technologies,Hydrogen (storage and distribution and applications),4
2000,Austria,Waste,Solar Energy,PV - Thermal Hybrid,10
2000,Austria,Waste,Wind Energy,Wind Energy,2
2000,Belgium,Building,Enabling Technologies,Smart Grids,1
2000,Belgium,Building,Geothermal Energy,Heat pumps,1
2000,Belgium,Building,Solar Energy,PV,1
2000,Belgium,Building,Solar Energy,PV - Thermal Hybrid,1
2000,Belgium,Building,Solar Energy,Solar Thermal,1
2000,Belgium,Industry,Enabling Technologies,Hydrogen (storage and distribution and applications),1
2000,Belgium,Power,Bioenergy,Biofuels,1
2000,Belgium,Power,Bioenergy,Fuel from waste,1
2000,Belgium,Power,Geothermal Energy,Geothermal Energy,1
2000,Belgium,Power,Solar Energy,Solar Thermal,5
2000,Belgium,Power,Wind Energy,Wind Energy,5
2000,Belgium,Transport,Enabling Technologies,Electromobility - Charging Stations,2
2000,Belgium,Transport,Enabling Technologies,Electromobility - Energy Storage,1
2000,Brazil,Building,Enabling Technologies,Energy Efficiency,3
2000,Brazil,Building,Enabling Technologies,Fuel Cells,3
2000,Brazil,Building,Enabling Technologies,Smart Grids,8
2000,Brazil,Building,Solar Energy,Solar Thermal,3
2000,Brazil,Building,Wind Energy,Wind Energy,5
2000,Brazil,CCUS,Enabling Technologies,CCUS,16
2000,Brazil,Industry,Bioenergy,Fuel from waste,1
2000,Brazil,Industry,Enabling Technologies,Cross-cutting,1
2000,Brazil,Industry,Enabling Technologies,Energy Efficiency,2
2000,Brazil,Industry,Enabling Technologies,Energy Storage - General,1
2000,Brazil,Industry,Enabling Technologies,Hydrogen (storage and distribution and applications),16
2000,Brazil,Power,Bioenergy,Biofuels,22
2000,Brazil,Power,Bioenergy,Fuel from waste,14
2000,Brazil,Power,Enabling Technologies,Batteries,61
2000,Brazil,Power,Enabling Technologies,Energy Storage - General,1
2000,Brazil,Power,Enabling Technologies,Fuel Cells,45
2000,Brazil,Power,Enabling Technologies,Thermal energy storage,3
2000,Brazil,Power,Enabling Technologies,"Ultracapacitors, supercapacitors, double-layer capacitors",3
2000,Brazil,Power,Enabling Technologies,Hydrogen (storage and distribution and applications),9
2000,Brazil,Power,Enabling Technologies,Green hydrogen (water eloctrolysis),9
2000,Brazil,Power,Enabling Technologies,"Mechanical energy storage, e.g. flywheels or pressurised fluids",1
2000,Brazil,Power,Geothermal Energy,Geothermal Energy,1
2000,Brazil,Power,Hydropower,Hydropower,22
2000,Brazil,Power,Ocean Energy,Ocean Energy,6
2000,Brazil,Power,Solar Energy,PV,13
2000,Brazil,Power,Solar Energy,Solar Thermal,21
2000,Brazil,Power,Wind Energy,Wind Energy,35
2000,Brazil,Transport,Bioenergy,Biofuels,9
2000,Brazil,Transport,Enabling Technologies,Electromobility - Charging Stations,2
